#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.418485E-01   0.631963E+07   0.627711E+07  -0.879967E+02  -0.880395E+02   0.152787E+07   0.629150E+07   0.631297E+07   0.629150E+07  -0.149830E+00   0.332192E+07   0.332161E+07   0.247935E+01
   0.432670E-01   0.611883E+07   0.607760E+07  -0.797156E+02  -0.797543E+02   0.142982E+07   0.609137E+07   0.611237E+07   0.609137E+07  -0.145064E+00   0.321630E+07   0.321600E+07   0.229283E+01
   0.447335E-01   0.592693E+07   0.588722E+07  -0.722447E+02  -0.722798E+02   0.133801E+07   0.590016E+07   0.592071E+07   0.590016E+07  -0.140510E+00   0.311539E+07   0.311510E+07   0.210228E+01
   0.462498E-01   0.574417E+07   0.570620E+07  -0.655100E+02  -0.655418E+02   0.125215E+07   0.571810E+07   0.573822E+07   0.571810E+07  -0.136174E+00   0.301930E+07   0.301904E+07   0.190973E+01
   0.478174E-01   0.557051E+07   0.553448E+07  -0.594403E+02  -0.594692E+02   0.117198E+07   0.554516E+07   0.556486E+07   0.554516E+07  -0.132056E+00   0.292804E+07   0.292779E+07   0.171745E+01
   0.494382E-01   0.540566E+07   0.537175E+07  -0.539689E+02  -0.539951E+02   0.109715E+07   0.538105E+07   0.540035E+07   0.538105E+07  -0.128148E+00   0.284142E+07   0.284119E+07   0.152787E+01
   0.511139E-01   0.524910E+07   0.521744E+07  -0.490331E+02  -0.490569E+02   0.102727E+07   0.522522E+07   0.524414E+07   0.522522E+07  -0.124437E+00   0.275918E+07   0.275897E+07   0.134354E+01
   0.528464E-01   0.510010E+07   0.507080E+07  -0.445754E+02  -0.445971E+02   0.961976E+06   0.507697E+07   0.509551E+07   0.507697E+07  -0.120906E+00   0.268093E+07   0.268075E+07   0.116708E+01
   0.546377E-01   0.495786E+07   0.493096E+07  -0.405438E+02  -0.405634E+02   0.900857E+06   0.493547E+07   0.495365E+07   0.493547E+07  -0.117536E+00   0.260625E+07   0.260608E+07   0.100111E+01
   0.564896E-01   0.482148E+07   0.479698E+07  -0.368913E+02  -0.369092E+02   0.843570E+06   0.479982E+07   0.481764E+07   0.479982E+07  -0.114306E+00   0.253465E+07   0.253450E+07   0.848117E+00
   0.584043E-01   0.469003E+07   0.466787E+07  -0.335763E+02  -0.335926E+02   0.789752E+06   0.466908E+07   0.468656E+07   0.466908E+07  -0.111192E+00   0.246564E+07   0.246552E+07   0.710362E+00
   0.611572E-01   0.451882E+07   0.449966E+07  -0.295099E+02  -0.295242E+02   0.721178E+06   0.449880E+07   0.451582E+07   0.449880E+07  -0.107137E+00   0.237576E+07   0.237566E+07   0.548316E+00
   0.639101E-01   0.435645E+07   0.433977E+07  -0.260563E+02  -0.260690E+02   0.659963E+06   0.433727E+07   0.435383E+07   0.433727E+07  -0.103290E+00   0.229050E+07   0.229042E+07   0.427791E+00
   0.666629E-01   0.420187E+07   0.418711E+07  -0.231028E+02  -0.231140E+02   0.605099E+06   0.418343E+07   0.419956E+07   0.418343E+07  -0.996269E-01   0.220930E+07   0.220923E+07   0.345110E+00
   0.694158E-01   0.405106E+07   0.403763E+07  -0.205450E+02  -0.205549E+02   0.555320E+06   0.403328E+07   0.404896E+07   0.403328E+07  -0.960511E-01   0.213003E+07   0.212997E+07   0.295485E+00
   0.721687E-01   0.390142E+07   0.388877E+07  -0.183076E+02  -0.183164E+02   0.509738E+06   0.388424E+07   0.389944E+07   0.388424E+07  -0.925016E-01   0.205135E+07   0.205129E+07   0.273221E+00
   0.749215E-01   0.375168E+07   0.373928E+07  -0.163365E+02  -0.163444E+02   0.467766E+06   0.373501E+07   0.374974E+07   0.373501E+07  -0.889479E-01   0.197257E+07   0.197251E+07   0.272140E+00
   0.776744E-01   0.360186E+07   0.358930E+07  -0.145931E+02  -0.146002E+02   0.429052E+06   0.358567E+07   0.359989E+07   0.358567E+07  -0.853914E-01   0.189372E+07   0.189365E+07   0.285971E+00
   0.804273E-01   0.345302E+07   0.343999E+07  -0.130494E+02  -0.130558E+02   0.393405E+06   0.343727E+07   0.345098E+07   0.343727E+07  -0.818572E-01   0.181536E+07   0.181529E+07   0.308743E+00
   0.831801E-01   0.330681E+07   0.329311E+07  -0.116838E+02  -0.116895E+02   0.360716E+06   0.329146E+07   0.330466E+07   0.329146E+07  -0.783848E-01   0.173838E+07   0.173829E+07   0.335077E+00
   0.859330E-01   0.316502E+07   0.315055E+07  -0.104781E+02  -0.104831E+02   0.330888E+06   0.315005E+07   0.316275E+07   0.315005E+07  -0.750172E-01   0.166371E+07   0.166362E+07   0.360420E+00
   0.886858E-01   0.302928E+07   0.301408E+07  -0.941589E+01  -0.942046E+01   0.303815E+06   0.301468E+07   0.302690E+07   0.301468E+07  -0.717935E-01   0.159224E+07   0.159213E+07   0.381200E+00
   0.914387E-01   0.290094E+07   0.288513E+07  -0.848232E+01  -0.848643E+01   0.279370E+06   0.288672E+07   0.289847E+07   0.288672E+07  -0.687461E-01   0.152466E+07   0.152456E+07   0.394882E+00
   0.941916E-01   0.278107E+07   0.276482E+07  -0.766353E+01  -0.766724E+01   0.257396E+06   0.276721E+07   0.277852E+07   0.276721E+07  -0.659001E-01   0.146156E+07   0.146145E+07   0.399968E+00
   0.969444E-01   0.267045E+07   0.265401E+07  -0.694686E+01  -0.695023E+01   0.237736E+06   0.265698E+07   0.266788E+07   0.265698E+07  -0.632748E-01   0.140335E+07   0.140323E+07   0.395919E+00
   0.996973E-01   0.256964E+07   0.255328E+07  -0.632074E+01  -0.632381E+01   0.220223E+06   0.255655E+07   0.256708E+07   0.255655E+07  -0.608833E-01   0.135032E+07   0.135020E+07   0.383035E+00
   0.102450E+00   0.247887E+07   0.246286E+07  -0.577444E+01  -0.577724E+01   0.204675E+06   0.246618E+07   0.247637E+07   0.246618E+07  -0.587310E-01   0.130259E+07   0.130248E+07   0.362302E+00
   0.105203E+00   0.239800E+07   0.238258E+07  -0.529782E+01  -0.530039E+01   0.190902E+06   0.238570E+07   0.239559E+07   0.238570E+07  -0.568145E-01   0.126009E+07   0.125999E+07   0.335220E+00
   0.107956E+00   0.232646E+07   0.231184E+07  -0.488130E+01  -0.488366E+01   0.178697E+06   0.231454E+07   0.232417E+07   0.231454E+07  -0.551199E-01   0.122252E+07   0.122242E+07   0.303617E+00
   0.110709E+00   0.226326E+07   0.224961E+07  -0.451584E+01  -0.451803E+01   0.167853E+06   0.225174E+07   0.226113E+07   0.225174E+07  -0.536242E-01   0.118935E+07   0.118926E+07   0.269470E+00
   0.113462E+00   0.220716E+07   0.219457E+07  -0.419315E+01  -0.419518E+01   0.158155E+06   0.219600E+07   0.220519E+07   0.219600E+07  -0.522970E-01   0.115992E+07   0.115984E+07   0.234739E+00
   0.116214E+00   0.215669E+07   0.214519E+07  -0.390581E+01  -0.390770E+01   0.149407E+06   0.214589E+07   0.215489E+07   0.214589E+07  -0.511035E-01   0.113345E+07   0.113338E+07   0.201226E+00
   0.118967E+00   0.211032E+07   0.209991E+07  -0.364735E+01  -0.364912E+01   0.141427E+06   0.209987E+07   0.210869E+07   0.209987E+07  -0.500075E-01   0.110915E+07   0.110909E+07   0.170462E+00
   0.121720E+00   0.206659E+07   0.205718E+07  -0.341233E+01  -0.341398E+01   0.134057E+06   0.205645E+07   0.206511E+07   0.205645E+07  -0.489736E-01   0.108622E+07   0.108617E+07   0.143639E+00
   0.124473E+00   0.202411E+07   0.201557E+07  -0.319625E+01  -0.319780E+01   0.127163E+06   0.201427E+07   0.202277E+07   0.201427E+07  -0.479690E-01   0.106394E+07   0.106390E+07   0.121558E+00
   0.127226E+00   0.198171E+07   0.197389E+07  -0.299555E+01  -0.299700E+01   0.120640E+06   0.197214E+07   0.198048E+07   0.197214E+07  -0.469657E-01   0.104170E+07   0.104166E+07   0.104628E+00
   0.129979E+00   0.193848E+07   0.193120E+07  -0.280757E+01  -0.280893E+01   0.114409E+06   0.192916E+07   0.193734E+07   0.192916E+07  -0.459422E-01   0.101900E+07   0.101896E+07   0.928804E-01
   0.132732E+00   0.189385E+07   0.188694E+07  -0.263046E+01  -0.263174E+01   0.108419E+06   0.188477E+07   0.189277E+07   0.188477E+07  -0.448850E-01   0.995554E+06   0.995519E+06   0.860098E-01
   0.135485E+00   0.184764E+07   0.184091E+07  -0.246313E+01  -0.246432E+01   0.102646E+06   0.183876E+07   0.184659E+07   0.183876E+07  -0.437895E-01   0.971258E+06   0.971224E+06   0.834351E-01
   0.138237E+00   0.179998E+07   0.179328E+07  -0.230502E+01  -0.230613E+01   0.970862E+05   0.179130E+07   0.179893E+07   0.179130E+07  -0.426591E-01   0.946190E+06   0.946155E+06   0.843712E-01
   0.140990E+00   0.175129E+07   0.174448E+07  -0.215596E+01  -0.215700E+01   0.917501E+05   0.174278E+07   0.175022E+07   0.174278E+07  -0.415037E-01   0.920568E+06   0.920531E+06   0.879079E-01
   0.143743E+00   0.170214E+07   0.169513E+07  -0.201595E+01  -0.201693E+01   0.866544E+05   0.169380E+07   0.170104E+07   0.169380E+07  -0.403371E-01   0.894696E+06   0.894656E+06   0.930883E-01
   0.146496E+00   0.165315E+07   0.164589E+07  -0.188502E+01  -0.188593E+01   0.818158E+05   0.164497E+07   0.165201E+07   0.164497E+07  -0.391743E-01   0.868908E+06   0.868864E+06   0.989809E-01
   0.149249E+00   0.160495E+07   0.159740E+07  -0.176314E+01  -0.176400E+01   0.772492E+05   0.159692E+07   0.160377E+07   0.159692E+07  -0.380300E-01   0.843530E+06   0.843484E+06   0.104740E+00
