#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.137941E+00   0.158762E+07   0.158040E+07  -0.286158E+01  -0.286240E+01   0.761944E+05   0.157926E+07   0.158642E+07   0.157926E+07  -0.355667E-01   0.769128E+06   0.769088E+06   0.964139E-01
   0.141892E+00   0.151533E+07   0.150766E+07  -0.258115E+01  -0.258189E+01   0.697117E+05   0.150721E+07   0.151406E+07   0.150721E+07  -0.339441E-01   0.734043E+06   0.733998E+06   0.105487E+00
   0.145844E+00   0.144655E+07   0.143850E+07  -0.233216E+01  -0.233283E+01   0.638491E+05   0.143866E+07   0.144521E+07   0.143866E+07  -0.324003E-01   0.700664E+06   0.700615E+06   0.112025E+00
   0.149795E+00   0.138381E+07   0.137553E+07  -0.211476E+01  -0.211537E+01   0.586556E+05   0.137615E+07   0.138243E+07   0.137615E+07  -0.309925E-01   0.670223E+06   0.670172E+06   0.114451E+00
   0.153746E+00   0.132861E+07   0.132033E+07  -0.192735E+01  -0.192791E+01   0.541284E+05   0.132120E+07   0.132724E+07   0.132120E+07  -0.297549E-01   0.643463E+06   0.643411E+06   0.112197E+00
   0.157698E+00   0.128120E+07   0.127314E+07  -0.176661E+01  -0.176712E+01   0.502113E+05   0.127403E+07   0.127986E+07   0.127403E+07  -0.286925E-01   0.620491E+06   0.620441E+06   0.105603E+00
   0.161649E+00   0.124081E+07   0.123317E+07  -0.162836E+01  -0.162882E+01   0.468163E+05   0.123388E+07   0.123954E+07   0.123388E+07  -0.277884E-01   0.600940E+06   0.600894E+06   0.956976E-01
   0.165600E+00   0.120623E+07   0.119916E+07  -0.150842E+01  -0.150886E+01   0.438496E+05   0.119955E+07   0.120505E+07   0.119955E+07  -0.270152E-01   0.584220E+06   0.584178E+06   0.839036E-01
   0.169552E+00   0.117607E+07   0.116964E+07  -0.140306E+01  -0.140347E+01   0.412219E+05   0.116962E+07   0.117500E+07   0.116962E+07  -0.263413E-01   0.569647E+06   0.569611E+06   0.717445E-01
   0.173503E+00   0.114875E+07   0.114295E+07  -0.130886E+01  -0.130924E+01   0.388491E+05   0.114253E+07   0.114779E+07   0.114253E+07  -0.257311E-01   0.556453E+06   0.556422E+06   0.605900E-01
   0.177454E+00   0.112258E+07   0.111732E+07  -0.122279E+01  -0.122315E+01   0.366531E+05   0.111656E+07   0.112170E+07   0.111656E+07  -0.251461E-01   0.543804E+06   0.543777E+06   0.514693E-01
   0.181406E+00   0.109600E+07   0.109116E+07  -0.114246E+01  -0.114279E+01   0.345710E+05   0.109016E+07   0.109519E+07   0.109016E+07  -0.245517E-01   0.530951E+06   0.530926E+06   0.449654E-01
   0.185357E+00   0.106803E+07   0.106346E+07  -0.106638E+01  -0.106669E+01   0.325649E+05   0.106236E+07   0.106727E+07   0.106236E+07  -0.239256E-01   0.517411E+06   0.517388E+06   0.411929E-01
   0.189308E+00   0.103838E+07   0.103393E+07  -0.993958E+00  -0.994244E+00   0.306218E+05   0.103286E+07   0.103764E+07   0.103286E+07  -0.232612E-01   0.503045E+06   0.503022E+06   0.398548E-01
   0.193260E+00   0.100733E+07   0.100287E+07  -0.925205E+00  -0.925471E+00   0.287470E+05   0.100195E+07   0.100659E+07   0.100195E+07  -0.225651E-01   0.487992E+06   0.487969E+06   0.403555E-01
   0.197211E+00   0.975509E+06   0.970966E+06  -0.860415E+00  -0.860663E+00   0.269544E+05   0.970260E+06   0.974755E+06   0.970260E+06  -0.218514E-01   0.472558E+06   0.472534E+06   0.419413E-01
   0.201162E+00   0.943716E+06   0.939043E+06  -0.799967E+00  -0.800197E+00   0.252605E+05   0.938587E+06   0.942940E+06   0.938587E+06  -0.211381E-01   0.457134E+06   0.457108E+06   0.438397E-01
   0.205113E+00   0.912849E+06   0.908054E+06  -0.744250E+00  -0.744464E+00   0.236822E+05   0.907839E+06   0.912053E+06   0.907839E+06  -0.204456E-01   0.442160E+06   0.442132E+06   0.453776E-01
   0.217541E+00   0.830251E+06   0.825464E+06  -0.601747E+00  -0.601921E+00   0.195852E+05   0.825615E+06   0.829456E+06   0.825615E+06  -0.185938E-01   0.402116E+06   0.402087E+06   0.437770E-01
   0.230721E+00   0.769273E+06   0.765196E+06  -0.495715E+00  -0.495858E+00   0.164876E+05   0.765029E+06   0.768596E+06   0.765029E+06  -0.172293E-01   0.372609E+06   0.372586E+06   0.332274E-01
   0.244700E+00   0.716453E+06   0.713095E+06  -0.410484E+00  -0.410602E+00   0.139390E+05   0.712566E+06   0.715896E+06   0.712566E+06  -0.160478E-01   0.347058E+06   0.347040E+06   0.243204E-01
   0.259526E+00   0.656483E+06   0.653267E+06  -0.334375E+00  -0.334471E+00   0.115819E+05   0.652893E+06   0.655949E+06   0.652893E+06  -0.147039E-01   0.317996E+06   0.317978E+06   0.229313E-01
   0.275250E+00   0.596273E+06   0.593053E+06  -0.269985E+00  -0.270062E+00   0.953030E+04   0.592958E+06   0.595739E+06   0.592958E+06  -0.133541E-01   0.288806E+06   0.288787E+06   0.226109E-01
   0.291927E+00   0.548345E+06   0.545488E+06  -0.220736E+00  -0.220800E+00   0.793404E+04   0.545309E+06   0.547870E+06   0.545309E+06  -0.122810E-01   0.265599E+06   0.265583E+06   0.183629E-01
   0.309615E+00   0.506354E+06   0.503879E+06  -0.181221E+00  -0.181273E+00   0.662698E+04   0.503574E+06   0.505943E+06   0.503574E+06  -0.113411E-01   0.245272E+06   0.245259E+06   0.145756E-01
   0.328373E+00   0.461966E+06   0.459598E+06  -0.146981E+00  -0.147024E+00   0.546375E+04   0.459409E+06   0.461573E+06   0.459409E+06  -0.103464E-01   0.223762E+06   0.223748E+06   0.135765E-01
   0.348269E+00   0.421952E+06   0.419753E+06  -0.119350E+00  -0.119384E+00   0.450636E+04   0.419608E+06   0.421587E+06   0.419608E+06  -0.945006E-02   0.204377E+06   0.204364E+06   0.118985E-01
   0.369370E+00   0.387751E+06   0.385809E+06  -0.975072E-01  -0.975353E-01   0.373660E+04   0.385608E+06   0.387428E+06   0.385608E+06  -0.868435E-02   0.187817E+06   0.187806E+06   0.970938E-02
   0.391749E+00   0.353987E+06   0.352177E+06  -0.791364E-01  -0.791592E-01   0.307553E+04   0.352024E+06   0.353686E+06   0.352024E+06  -0.792798E-02   0.171460E+06   0.171449E+06   0.865711E-02
   0.415485E+00   0.323382E+06   0.321725E+06  -0.642710E-01  -0.642895E-01   0.253129E+04   0.321586E+06   0.323107E+06   0.321586E+06  -0.724249E-02   0.156635E+06   0.156626E+06   0.745035E-02
   0.440658E+00   0.295857E+06   0.294360E+06  -0.522752E-01  -0.522902E-01   0.208496E+04   0.294216E+06   0.295608E+06   0.294216E+06  -0.662608E-02   0.143304E+06   0.143296E+06   0.631958E-02
   0.467357E+00   0.269830E+06   0.268449E+06  -0.423848E-01  -0.423970E-01   0.171074E+04   0.268330E+06   0.269600E+06   0.268330E+06  -0.604310E-02   0.130696E+06   0.130688E+06   0.552487E-02
   0.495673E+00   0.246444E+06   0.245193E+06  -0.344153E-01  -0.344252E-01   0.140479E+04   0.245075E+06   0.246236E+06   0.245075E+06  -0.551938E-02   0.119369E+06   0.119362E+06   0.470032E-02
   0.525705E+00   0.224711E+06   0.223565E+06  -0.278975E-01  -0.279055E-01   0.115088E+04   0.223461E+06   0.224520E+06   0.223461E+06  -0.503260E-02   0.108842E+06   0.108835E+06   0.406833E-02
   0.557556E+00   0.204930E+06   0.203888E+06  -0.226181E-01  -0.226246E-01   0.942445E+03   0.203790E+06   0.204757E+06   0.203790E+06  -0.458959E-02   0.992608E+05   0.992549E+05   0.348287E-02
   0.591338E+00   0.186730E+06   0.185779E+06  -0.183221E-01  -0.183273E-01   0.770639E+03   0.185691E+06   0.186572E+06   0.185691E+06  -0.418197E-02   0.904452E+05   0.904399E+05   0.299896E-02
   0.627165E+00   0.170108E+06   0.169242E+06  -0.148386E-01  -0.148429E-01   0.629651E+03   0.169161E+06   0.169964E+06   0.169161E+06  -0.380970E-02   0.823941E+05   0.823892E+05   0.257158E-02
   0.875280E+00   0.994431E+05   0.989373E+05  -0.445373E-02  -0.445502E-02   0.196761E+03   0.988888E+05   0.993591E+05   0.988888E+05  -0.222709E-02   0.481665E+05   0.481637E+05   0.107731E-02
   0.122155E+01   0.574312E+05   0.571392E+05  -0.132061E-02  -0.132099E-02   0.599287E+02   0.571108E+05   0.573827E+05   0.571108E+05  -0.128620E-02   0.278174E+05   0.278158E+05   0.446332E-03
   0.170481E+01   0.328229E+05   0.326561E+05  -0.387504E-03  -0.387615E-03   0.178862E+02   0.326397E+05   0.327952E+05   0.326397E+05  -0.735084E-03   0.158981E+05   0.158972E+05   0.183448E-03
   0.237926E+01   0.185908E+05   0.184963E+05  -0.112686E-03  -0.112718E-03   0.525488E+01   0.184870E+05   0.185751E+05   0.184870E+05  -0.416349E-03   0.900464E+04   0.900411E+04   0.750576E-04
   0.332052E+01   0.104480E+05   0.103949E+05  -0.325144E-04  -0.325237E-04   0.152521E+01   0.103897E+05   0.104392E+05   0.103897E+05  -0.233988E-03   0.506060E+04   0.506030E+04   0.307245E-04
   0.463416E+01   0.583207E+04   0.580238E+04  -0.931828E-05  -0.932096E-05   0.438556E+00   0.579950E+04   0.582714E+04   0.579950E+04  -0.130612E-03   0.282482E+04   0.282465E+04   0.126854E-04
   0.646749E+01   0.323614E+04   0.321963E+04  -0.265467E-05  -0.265544E-05   0.125169E+00   0.321806E+04   0.323340E+04   0.321806E+04  -0.724745E-04   0.156746E+04   0.156735E+04   0.535316E-05
